index,title,artist,duration,duration_sec
1,Вище неба,Океан Ельзи,03:58,238
2,The Hanging Tree,L'Orchestra Cinematique,03:41,221
3,kanye west diss,Хаски,01:48,108
4,Stay Fly,Young Buck & 8Ball & MJG & Three 6 Mafia,03:58,238
5,Ай,Хаски,02:41,161
6,Lumiere,Lorien Testard & Alice Duport-Percier,03:42,222
7,Мультики,Хаски,03:39,219
8,Boeing,DK & umirai,02:03,123
9,Отопление,Хаски,04:32,272
10,Мать императрица,ICEGERGERT,01:51,111
11,777,SALUKI,03:15,195
12,Пироман 17,Хаски,03:26,206
13,Paladin Strait,twenty one pilots,06:29,389
14,365,R96,02:26,146
15,back to friends,TommyMuzzic & RhythmRebel,03:19,199
16,За Байкалом,Хаски,03:01,181
17,агентство насилия™,gotlibgotlibgotlib & SABU,02:15,135
18,tonight,Jker,02:41,161
19,AS IT WAS,Cream,02:46,166
20,End of Beginning,Djo,02:39,159
21,джеймс харден,пазнякс,02:30,150
22,City Walls,twenty one pilots,05:22,322
23,Где мой дом?,IC3PEAK,02:45,165
24,OCG,FRIENDLY THUG 52 NGG & SaintPrince 52,02:21,141
25,in my zone,VALORANT & bbno$,02:52,172
26,Beautiful,Eminem,06:33,393
27,Шиншиллы,ЛСП,02:29,149
28,Танцы на снегу,Хаски,03:06,186
29,СНОВА,GERA AMEN & SALUKI,02:25,145
30,Быть богатым feat. Платина,Voskresenskii & Платина,02:57,177
31,ARC Raiders (II),Patrik Andrén & Johan Söderqvist & Embark Studios,02:51,171
32,Неблагополучная Семья,Мэйби Бэйби,03:17,197
33,Быть орком,Хаски,03:36,216
34,Партизан,Хаски,04:07,247
35,Я объявляю вам войну,Хаски,03:30,210
36,Speranza,Patrik Andrén & Johan Söderqvist & Embark Studios,02:41,161
37,ARC Raiders,Patrik Andrén & Johan Söderqvist & Embark Studios,02:23,143
38,The Wanderer (Prologue),Patrik Andrén & Johan Söderqvist & Embark Studios,02:32,152
39,Extraction. Arc Riders Fucking Mix,Танцевальная Музыка & Музыка В Машину & Музыка для спорта & Deep House & Deep House Music & Фоновая музыка,03:35,215
40,Loot secured. Arc Riders Fucking Mix,Танцевальная Музыка & Музыка В Машину & Музыка для спорта & Deep House & Deep House Music & Фоновая музыка,03:16,196
41,отдыхаем,пазнякс,02:09,129
42,Силиконовый Гном,Мэйби Бэйби,03:33,213
43,Жабинка-Гродно,Мэйби Бэйби & пазнякс,02:49,169
44,Victory Lap Five,Fred again.. & Skepta & plaqueboymax & Denzel Curry & Hanumankind & That Mexican OT,05:45,345
45,Lost Woods,Derek Pope,02:14,134
46,ROMANTIC,SQWOZ BAB,02:36,156
47,The Line (from the series Arcane League of Legends),twenty one pilots & League of Legends & Arcane,03:12,192
48,"...And To Those I Love, Thanks For Sticking Around",$uicideboy$,02:48,168
49,$outh $ide $uicide,$uicideboy$ & Pouya,02:49,169
50,Monologue,ALBLAK 52 & FRIENDLY THUG 52 NGG,02:09,129
51,The Contract,twenty one pilots,03:46,226
52,"0,33",SALUKI,02:28,148
53,I Really Want to Stay at Your House,Rosa Walton & Hallie Coggins,04:22,262
54,ПЕРСОНАЖ (СЕРЫЕ ДОМА),SQWOZ BAB,03:24,204
55,Overcompensate,twenty one pilots,03:56,236
56,Routines In The Night,twenty one pilots,03:23,203
57,Кисти,uniqe & nkeeei & ARTEM SHILOVETS,02:52,172
58,BACKSTAGE,GOTOU寄生獣 & vodvor,01:55,115
59,У батарей,nyan.mp3,01:45,105
60,ВЫЛЕЧИМ,SALUKI,02:59,179
61,BOY$,SALUKI & FEDUK & FRIENDLY THUG 52 NGG,05:31,331
62,БЕСИТ,НАВЕРНОЕ ПОЭТ & ЯКОРЪ & EVEN CUTE & ZODIVK,01:34,94
63,СИСЯМБЫ,НАВЕРНОЕ ПОЭТ & ЯКОРЪ & EVEN CUTE & 5opka,01:43,103
64,ФИГНЯ,НАВЕРНОЕ ПОЭТ & EVEN CUTE & ЯКОРЪ,02:00,120
65,Chalice,Donae'o & Belly & Llord,03:54,234
66,Аминь,2hug,01:30,90
67,Hate.,ThxSoMch,02:15,135
68,Я жить хочу! Хочу печали,Whole Lotta Swag,02:12,132
69,Репортаж,Whole Lotta Swag,02:09,129
70,ilomilo,Billie Eilish,02:36,156
71,Earth Song,Michael Jackson,06:19,379
72,BORN FROM THE DIRT,Haarper,02:33,153
73,Surround Sound,JID & 21 Savage & Baby Tate,03:50,230
74,В погоне за счастьем,ffuckdrream,01:52,112
75,Честных правил,Markul,02:26,146
76,The Cure,Jadu Heart,03:57,237
77,CHIHIRO,Billie Eilish,05:03,303
78,Churchyard,AURORA,03:46,226
79,was gone,TendyOne & Balekajøn & nevertried & RONVXER,01:45,105
80,edamame,bbno$ & Rich Brian,02:14,134
81,Понимаешь,Whole Lotta Swag,02:45,165
82,Время,2hug,02:23,143
83,КРАСИВА,лил кидд,01:42,102
84,aurora,kittyangel,02:35,155
85,Metamorphosis,Emi,02:31,151
86,Пусто,V $ X V PRiNCE & BOLLO,03:22,202
87,1-800,bbno$ & ironmouse,03:30,210
88,check,bbno$,02:02,122
89,Руки у руля,thxnderbeatz & itgmq Brazil,02:05,125
90,Цезарь group,ICEGERGERT & A-THIS 52,02:08,128
91,LUNA,HVZVRD & S3NPV1,01:29,89
92,AIST,FRIENDLY THUG 52 NGG,02:12,132
93,Pacify Her,Melanie Martinez,03:40,220
94,Браги два бидона,GORILLA GLU & LIL NAKU,02:28,148
95,Soft Universe,AURORA,04:00,240
96,jump (blackp),Baret,02:34,154
97,SEQUENCIA MALEFICA 1.0 (8D) (8D),RXPOSO99,01:36,96
98,Передел,Макс Корж,05:04,304
99,Делай,Whole Lotta Swag,02:57,177
100,to the grave,Bea Miller & mike.,03:58,238
101,Пневмония,Whole Lotta Swag,02:04,124
102,МИР ГОРИТ,Oxxxymiron,03:25,205
103,Улет,Oxxxymiron,02:31,151
104,КТО УБИЛ МАРКА?,Oxxxymiron,09:27,567
105,9568,Whole Lotta Swag,01:57,117
106,bellyache,Billie Eilish,02:59,179
107,Оффер,Whole Lotta Swag,02:16,136
108,Никому не верить,Whole Lotta Swag,02:12,132
109,dying on the inside,Nessa Barrett,03:25,205
110,Amsterdam,ICEGERGERT,02:31,151
111,Наследство,ICEGERGERT & SKY RAE,02:11,131
112,high enough,nowayback,02:13,133
113,Мне скучно жить,ЛСП & Oxxxymiron,03:52,232
114,"Надо знать, чего хотеть",Whole Lotta Swag,03:01,181
115,Окраина,Whole Lotta Swag & Скриптонит,02:58,178
116,Травмы,Whole Lotta Swag,02:09,129
117,Заработаю,пороксердца,01:54,114
118,Где нас нет,Oxxxymiron,04:26,266
119,Aria Math,bxkq & Hardx,04:05,245
120,Я тебя люблю,Whole Lotta Swag,01:59,119
121,ウィ・アー・ザ・ピープル,Empire Of The Sun & Luke Steele & Nicholas Littlemore,04:29,269
122,СВАГА,HELLOVERCAVI & SODA LUV,01:39,99
123,"ЯЛРС (prod. by YG Woods, 8keey)",SODA LUV,02:10,130
124,A New Love,Immoral Freak,01:56,116
125,STRANGERS,Zachary,02:34,154
126,Neon Gravestones,twenty one pilots,04:00,240
127,Save Your Tears,The Weeknd,03:36,216
128,Реальность,2hug,01:41,101
129,КТО ТЕБЕ ЭТО СКАЗАЛ,Pepel Nahudi,02:13,133
130,TOKYO,SQWOZ BAB,02:41,161
131,YVNNV,mxnarch,02:04,124
132,Round 3 (Vs ШУММ) [prod. by OSMOS],RAM,01:59,119
133,Рано,Whole Lotta Swag,02:12,132
